INVHED_TXNDATE,orders,sale
9/30/2024,1901,4553163.04
10/1/2024,1842,4286333.28
10/2/2024,1822,4318159.78
10/3/2024,1793,4083143.92
10/4/2024,1910,4217155.17
10/5/2024,2049,4563784.69
10/6/2024,2215,4993470.42
10/7/2024,1808,4014038.35
10/8/2024,1938,4508945.28
10/9/2024,1924,4364315.52
10/10/2024,1425,3320436.61
10/11/2024,1787,3996188.56
10/12/2024,2043,4726119.98
10/13/2024,2049,4916684.62
10/14/2024,1787,4152379.45
10/15/2024,1874,4189356.43
10/16/2024,1898,4092097.7
10/17/2024,2370,4740572.85
10/18/2024,1748,3651740.67
10/19/2024,2071,4590500.83
10/20/2024,2052,4575289.46
10/21/2024,1692,3633084.41
10/22/2024,1791,3980193.31
10/23/2024,1776,3790593.12
10/24/2024,1962,4208692.17
10/25/2024,1836,3997251.89
10/26/2024,2059,4578199.64
10/27/2024,2101,4761217.5
10/28/2024,1827,4015779.14
10/29/2024,1186,2629781.41
10/30/2024,1939,4255019.85
10/31/2024,2096,4273839.83
11/1/2024,1930,4413351.3
11/2/2024,2178,4887622.61
11/3/2024,2180,5214459.46
11/4/2024,1823,4141339.68
11/5/2024,1949,4449342.18
11/6/2024,1978,4318606.61
11/7/2024,1957,4088539.04
11/8/2024,1876,3924951.72
11/9/2024,2184,4891030.98
11/10/2024,2166,4947970.94
11/11/2024,1948,5619329.02
11/12/2024,1895,4840426.85
11/13/2024,1891,4304721.57
11/14/2024,2096,4977853.46
11/15/2024,1452,3270173.49
11/16/2024,1887,4255589.93
11/17/2024,2007,4364417.53
11/18/2024,1876,4276677.62
11/19/2024,1883,4123353.18
11/20/2024,1901,4167571.64
11/21/2024,1882,3833677.75
11/22/2024,1816,3975911.64
11/23/2024,2128,4740574.49
11/24/2024,2186,5048479.26
11/25/2024,1928,4357594.56
11/26/2024,1376,3203168.41
11/27/2024,2275,5508004.86
11/28/2024,1849,4189809.5
11/29/2024,2082,4829212.88
